,Time,Acc_x,Acc_y,Acc_z
408,1603920581884,-2048,-2048,2047
409,1603920581934,-2048,-2048,2047
410,1603920581984,-1562,-1078,2047
411,1603920582034,418,-705,2047
412,1603920582084,-26,-945,2047
413,1603920582134,160,-1212,2047
414,1603920582184,-39,-1993,2047
415,1603920582234,187,-2048,2047
416,1603920582284,117,-935,1263
417,1603920582334,-726,-646,875
418,1603920582384,-1351,-1512,824
419,1603920582434,-1822,-1009,677
420,1603920582484,-1392,-1289,464
421,1603920582534,-956,-1220,800
422,1603920582584,-1391,-467,1141
423,1603920582634,-2048,-734,1306
424,1603920582684,-2048,-1505,771
425,1603920582734,-2048,1033,-465
426,1603920582784,-2048,488,-2048
427,1603920582834,-2048,-738,-2048
428,1603920582884,-2048,-115,-2048
429,1603920582934,-2048,-1170,-2048
430,1603920582984,-2048,-1169,-2048
431,1603920583034,-2048,-2048,2047
432,1603920583084,2047,2047,-1936
433,1603920583134,-2048,-1501,2047
434,1603920583184,-2028,355,964
435,1603920583234,-265,1304,1211
436,1603920583284,-791,-75,961
437,1603920583334,-384,77,1328
438,1603920583384,256,-52,1884
439,1603920583434,91,73,1894
440,1603920583484,-511,-651,1401
441,1603920583534,-2048,-1623,2047
442,1603920583584,-2048,-2048,2047
443,1603920583634,-1869,-1644,1663
444,1603920583684,-1800,-1195,2047
445,1603920583734,-432,-1761,2047
446,1603920583784,-69,-998,2047
447,1603920583834,-508,-851,2047
448,1603920583884,256,-1748,2047
449,1603920583934,483,-2048,2047
450,1603920583984,667,-2041,2047
451,1603920584034,465,-787,1625
452,1603920584084,-304,-714,1064
453,1603920584134,-875,-761,964
454,1603920584184,-1793,-876,955
455,1603920584234,-1881,-1053,782
456,1603920584284,-1371,-1206,687
457,1603920584334,-1553,-409,761
458,1603920584384,-1693,-507,675
459,1603920584434,-2048,-971,696
460,1603920584484,-2048,-845,232
461,1603920584534,-2048,990,-1148
462,1603920584584,-2048,-633,-2048
463,1603920584634,-2048,-545,-2048
464,1603920584684,-2048,110,-2048
465,1603920584734,-2048,-1310,-830
466,1603920584784,-1339,258,138
467,1603920584834,-2048,-2048,2047
468,1603920584884,-2048,806,2047
469,1603920584934,-2048,-2048,-2048
470,1603920584984,-2048,-1016,607
471,1603920585034,-371,446,636
472,1603920585084,-974,1314,770
473,1603920585134,-254,-1982,1161
474,1603920585184,-115,7,1804
475,1603920585234,214,251,1834
476,1603920585284,-327,-938,1696
477,1603920585334,-2048,-1938,1982
478,1603920585384,-2048,-2048,2047
479,1603920585434,-1548,-1457,1884
