,Time,Acc_x,Acc_y,Acc_z
275,1603922293795,383,-1351,2047
276,1603922293845,-153,-1103,1643
277,1603922293895,-1005,-1243,1012
278,1603922293945,-1363,-1163,680
279,1603922293995,-1842,-1264,688
280,1603922294045,-1776,-1520,798
281,1603922294095,-1645,-326,874
282,1603922294145,-2048,707,818
283,1603922294195,-2048,-2048,953
284,1603922294245,-2048,-1551,566
285,1603922294295,-2048,1312,-594
286,1603922294345,-2048,602,-2048
287,1603922294395,-2048,-1232,-2048
288,1603922294445,-2048,416,-2048
289,1603922294495,565,-2048,-1755
290,1603922294545,-2048,-1360,2047
291,1603922294595,-2048,-1309,762
292,1603922294645,-2048,91,781
293,1603922294695,239,1291,254
294,1603922294745,-827,751,666
295,1603922294795,-79,-1143,1235
296,1603922294845,-314,351,1288
297,1603922294895,-318,-61,1569
298,1603922294945,-24,-12,1823
299,1603922294995,-98,31,1470
300,1603922295045,-731,-586,1506
301,1603922295095,-2048,-1931,2047
302,1603922295145,-2048,-2048,1727
303,1603922295195,-954,-2048,1195
304,1603922295245,-2048,-683,2047
305,1603922295295,-544,-656,2047
306,1603922295345,-199,-327,2047
307,1603922295395,-508,-731,2047
308,1603922295445,75,-1279,2047
309,1603922295495,-50,-1662,2047
310,1603922295545,39,-1354,2047
311,1603922295595,-156,-1292,1102
312,1603922295645,-741,-1443,500
313,1603922295695,-1161,-1166,389
314,1603922295745,-1592,-1316,533
315,1603922295795,-1393,-1298,574
316,1603922295845,-1374,-624,851
317,1603922295895,-2033,-182,1125
318,1603922295945,-2048,-2048,955
319,1603922295995,-2048,-1660,402
320,1603922296045,-2048,1552,-1099
321,1603922296095,-2048,133,-1695
322,1603922296145,-2048,-1199,-2048
323,1603922296195,-2048,272,-2048
324,1603922296245,26,-2048,-1102
325,1603922296295,-2048,2003,2047
326,1603922296345,-2048,-1545,2047
327,1603922296395,-2048,-61,1050
328,1603922296445,-1443,-445,-473
329,1603922296495,-569,-185,1237
330,1603922296545,-586,-275,1148
331,1603922296595,-580,423,1166
332,1603922296645,4,-714,1616
333,1603922296695,95,-335,1833
334,1603922296745,-56,289,1531
335,1603922296795,-758,-852,1464
336,1603922296845,-2048,-1843,2047
337,1603922296895,-2048,-2048,1919
338,1603922296945,-2048,-2048,1727
339,1603922296995,-2048,-2048,2047
340,1603922297045,-2048,368,2047
341,1603922297095,-41,-357,2047
342,1603922297145,-682,-1052,2047
343,1603922297195,-591,-1255,2047
344,1603922297245,-365,-1509,2047
345,1603922297295,-3,-1490,2047
346,1603922297345,-68,-933,1190
347,1603922297395,-911,-841,811
348,1603922297445,-1334,-1306,563
349,1603922297495,-1527,-1066,434
350,1603922297545,-1438,-839,576
351,1603922297595,-1595,-447,946
352,1603922297645,-2048,-88,1102
353,1603922297695,-2048,-1378,1007
354,1603922297745,-2048,-1345,-74
355,1603922297795,-2048,36,-1628
356,1603922297845,-2048,-386,-2048
357,1603922297895,-2048,-430,-2048
358,1603922297945,-2048,-297,-2048
359,1603922297995,-2048,-1360,-2048
360,1603922298045,-2048,-2048,2047
361,1603922298095,283,2047,1829
362,1603922298145,-1745,-2048,296
363,1603922298195,-1443,-1742,1022
364,1603922298245,-420,36,1088
365,1603922298295,-727,-402,934
366,1603922298345,-596,92,1097
367,1603922298395,-353,-20,1586
368,1603922298445,60,348,1706
369,1603922298495,-175,119,1329
370,1603922298545,-1028,-790,1488
371,1603922298595,-2048,-1592,1806
372,1603922298645,-2048,-2048,1876
373,1603922298695,-838,-1469,1349
374,1603922298745,-2048,-851,2047
375,1603922298795,-413,-1915,2047
376,1603922298845,97,-689,2047
377,1603922298895,-488,-1469,2047
378,1603922298945,281,-2048,2047
379,1603922298995,-1,-2048,2047
380,1603922299045,153,-2048,1869
381,1603922299095,-18,-472,1081
382,1603922299145,-856,-739,929
383,1603922299195,-1393,-1317,917
384,1603922299245,-1802,-834,748
385,1603922299295,-1407,-1125,680
386,1603922299345,-1664,-452,974
387,1603922299395,-2048,-240,944
388,1603922299445,-2048,-1533,690
389,1603922299495,-2048,-1374,358
390,1603922299545,-2048,865,-645
391,1603922299595,-2048,-99,-2048
392,1603922299645,-2048,-1084,-2048
393,1603922299695,-2048,907,-2048
394,1603922299745,-2048,-1324,-1675
395,1603922299795,-256,1653,2047
396,1603922299845,-2048,-174,2047
397,1603922299895,90,2047,1552
398,1603922299945,-1973,-547,2047
399,1603922299995,-615,2047,1131
400,1603922300045,-116,-144,1140
401,1603922300095,-603,-4,1084
402,1603922300145,-236,102,1313
403,1603922300195,190,-206,1770
404,1603922300245,-38,140,1696
405,1603922300295,-77,-322,1251
406,1603922300345,-1907,-1467,1759
407,1603922300395,-2048,-2048,1901
408,1603922300445,-2048,-2048,2047
409,1603922300495,-2048,-2048,2047
410,1603922300545,-1562,-1078,2047
411,1603922300595,418,-705,2047
412,1603922300645,-26,-945,2047
413,1603922300695,160,-1212,2047
414,1603922300745,-39,-1993,2047
415,1603922300795,187,-2048,2047
416,1603922300845,117,-935,1263
417,1603922300895,-726,-646,875
418,1603922300945,-1351,-1512,824
419,1603922300995,-1822,-1009,677
420,1603922301045,-1392,-1289,464
421,1603922301095,-956,-1220,800
422,1603922301145,-1391,-467,1141
423,1603922301195,-2048,-734,1306
424,1603922301245,-2048,-1505,771
425,1603922301295,-2048,1033,-465
426,1603922301345,-2048,488,-2048
427,1603922301395,-2048,-738,-2048
428,1603922301445,-2048,-115,-2048
429,1603922301495,-2048,-1170,-2048
430,1603922301545,-2048,-1169,-2048
431,1603922301595,-2048,-2048,2047
432,1603922301645,2047,2047,-1936
433,1603922301695,-2048,-1501,2047
434,1603922301745,-2028,355,964
435,1603922301795,-265,1304,1211
436,1603922301845,-791,-75,961
437,1603922301895,-384,77,1328
438,1603922301945,256,-52,1884
439,1603922301995,91,73,1894
440,1603922302045,-511,-651,1401
441,1603922302095,-2048,-1623,2047
442,1603922302145,-2048,-2048,2047
443,1603922302195,-1869,-1644,1663
444,1603922302245,-1800,-1195,2047
445,1603922302295,-432,-1761,2047
446,1603922302345,-69,-998,2047
447,1603922302395,-508,-851,2047
448,1603922302445,256,-1748,2047
449,1603922302495,483,-2048,2047
