,Time,Acc_x,Acc_y,Acc_z
737,1603922312422,-2048,-596,922
738,1603922312472,-2048,-2005,772
739,1603922312522,-2048,-1208,172
740,1603922312572,-2048,982,-1517
741,1603922312622,-2048,-229,-2048
742,1603922312672,-2048,-523,-2048
743,1603922312722,-2048,-88,-2048
744,1603922312772,-2048,-2048,-2048
745,1603922312822,-2048,-2048,2047
746,1603922312872,1385,2047,1379
747,1603922312922,2047,-1647,-2048
748,1603922312972,-858,-732,1257
749,1603922313022,-465,912,845
750,1603922313072,-927,-367,861
751,1603922313122,-471,100,1243
752,1603922313172,29,13,1892
753,1603922313222,185,265,2047
754,1603922313272,-253,-310,1381
755,1603922313322,-1243,-977,1819
756,1603922313372,-2048,-2048,2047
757,1603922313422,-2048,-2048,1473
758,1603922313472,-2048,172,244
759,1603922313522,-2048,-1097,2047
760,1603922313572,22,-2048,2047
761,1603922313622,-135,-1804,2047
762,1603922313672,118,-1470,2047
763,1603922313722,-65,-1668,2047
764,1603922313772,9,-2048,2047
765,1603922313822,67,-1992,1880
766,1603922313872,-581,-312,1252
767,1603922313922,-870,-667,1017
768,1603922313972,-1647,-1011,1020
769,1603922314022,-1698,-858,888
770,1603922314072,-1264,-874,1049
771,1603922314122,-2017,343,1472
772,1603922314172,-2048,-479,1279
773,1603922314222,-2048,-2048,737
774,1603922314272,-2048,-880,-518
775,1603922314322,-2048,802,-2048
776,1603922314372,-2048,-1210,-2048
777,1603922314422,-2048,32,-2048
778,1603922314472,-2048,-467,-2048
779,1603922314522,382,-2048,-627
780,1603922314572,-2048,-2048,2047
781,1603922314622,2047,2047,-1478
782,1603922314672,2047,-616,-2048
783,1603922314722,-705,998,1317
784,1603922314772,-336,572,1105
785,1603922314822,-706,38,1155
786,1603922314872,-375,-279,1250
787,1603922314922,97,384,1871
788,1603922314972,-294,312,1613
789,1603922315022,-379,-465,1463
790,1603922315072,-2048,-1741,2001
791,1603922315122,-2048,-2048,1932
792,1603922315172,-673,-1313,1048
793,1603922315222,-2048,-1221,2047
794,1603922315272,-1010,-2048,2047
795,1603922315322,-20,-1327,2047
796,1603922315372,-795,-1070,2047
797,1603922315422,-112,-1609,2047
798,1603922315472,87,-2048,2047
799,1603922315522,242,-2010,2047
800,1603922315572,-18,-1306,1712
801,1603922315622,-473,-599,995
802,1603922315672,-970,-1099,877
803,1603922315722,-1541,-836,787
804,1603922315772,-1504,-1039,704
805,1603922315822,-1059,-1033,846
806,1603922315872,-1610,-212,912
807,1603922315922,-2048,-851,1025
808,1603922315972,-2048,-1681,843
809,1603922316022,-2048,466,-515
810,1603922316072,-2048,676,-2035
811,1603922316122,-2048,-1096,-2048
812,1603922316172,-2048,62,-2048
813,1603922316222,-2048,-1033,-2048
814,1603922316272,630,2047,538
815,1603922316322,-2048,251,2047
816,1603922316372,-377,2047,-152
817,1603922316422,-2048,1129,2047
818,1603922316472,-526,2047,1123
819,1603922316522,-274,-63,1260
820,1603922316572,-444,-22,1204
821,1603922316622,-123,202,1616
822,1603922316672,120,-57,1960
823,1603922316722,-372,196,1519
824,1603922316772,-892,-640,1668
825,1603922316822,-2048,-1608,1958
826,1603922316872,-2048,-2048,1474
827,1603922316922,-2048,-2048,1089
828,1603922316972,-2048,-1795,2047
829,1603922317022,-1440,-1721,2047
830,1603922317072,9,-319,2047
831,1603922317122,-988,-1433,2047
832,1603922317172,-428,-1640,2047
833,1603922317222,-201,-1781,2047
834,1603922317272,445,-1589,2047
835,1603922317322,139,-697,1185
836,1603922317372,-632,-378,888
837,1603922317422,-1192,-1072,852
838,1603922317472,-1654,-887,727
839,1603922317522,-1507,-875,569
840,1603922317572,-1350,-939,914
841,1603922317622,-1767,-696,948
842,1603922317672,-2048,-1043,1105
843,1603922317722,-2048,-1600,329
844,1603922317772,-2048,1068,-1080
845,1603922317822,-2048,-606,-2048
846,1603922317872,-2048,-726,-2048
847,1603922317922,-2048,500,-2048
848,1603922317972,2047,-2048,-1041
849,1603922318022,-2048,-1467,2047
850,1603922318072,-2048,2047,1061
851,1603922318122,-2048,-2048,-2048
852,1603922318172,-2048,-742,606
853,1603922318222,-185,295,839
854,1603922318272,-504,-197,866
855,1603922318322,-918,413,1123
856,1603922318372,231,784,1906
857,1603922318422,-247,-312,1922
858,1603922318472,-199,-686,1474
859,1603922318522,-1875,-1694,1989
860,1603922318572,-2048,-2048,2022
861,1603922318622,-2048,-2048,1245
862,1603922318672,-2048,-2048,2047
863,1603922318722,-2048,-1723,2047
864,1603922318772,315,-1129,2047
865,1603922318822,-189,-1052,2047
866,1603922318872,-473,-1389,2047
867,1603922318922,57,-1695,2047
868,1603922318972,336,-1377,2047
869,1603922319022,-78,-1018,2047
870,1603922319072,-814,-965,1238
871,1603922319122,-684,-359,544
872,1603922319172,-1489,-1150,601
873,1603922319222,-1668,-1469,464
874,1603922319272,-977,-1448,410
875,1603922319322,-1310,-601,807
876,1603922319372,-2048,-345,904
877,1603922319422,-2048,-1531,674
878,1603922319472,-2048,738,-547
879,1603922319522,-2048,1125,-2048
880,1603922319572,-2048,-576,-2048
881,1603922319622,-2048,-131,-2048
882,1603922319672,-2048,-493,-2048
883,1603922319722,-2048,-2048,-2048
884,1603922319772,-2048,-2048,2047
885,1603922319822,2047,2047,-2048
886,1603922319872,-2048,-164,2047
887,1603922319922,-1522,1219,741
888,1603922319972,22,45,1127
889,1603922320022,-642,262,1197
890,1603922320072,-15,-103,1640
891,1603922320122,-148,-42,1848
892,1603922320172,4,-464,1590
893,1603922320222,-486,-1019,1392
894,1603922320272,-2048,-2048,2047
895,1603922320322,-2048,-2048,2047
896,1603922320372,-1591,-15,-1330
897,1603922320422,-1511,-522,2047
898,1603922320472,-99,-1509,2047
899,1603922320522,-382,-1255,2047
